contestant,series,round,episode,tech_rank_scaled,sig_sum,showstopper_sum,tech_rank,n_remaining,series_winner,eliminated_round,baker_id,signature_bake,signature_flavor,signature_looks,first_half_review,showstopper_bake,showstopper_flavor,showstopper_looks,second_half_review,star_baker,eliminated,sig_ss_sum,season,gender,age,occupation,hometown
Tasha,11,3,11.3,2.3333333333333335,2,3,2,10,0,9,11.Tasha,1,1,0,1,1,1,1,1,1,0,5,14,F,27,Children's charity participation officer,Bristol
Cristy,11,4,11.4,-2.1428571428571423,-2,1,7,8,0,8,11.Cristy,-1,-1,0,-1,-1,1,1,-1,0,0,-1,14,F,33,Personal assistant,London
Dan,11,4,11.4,3,-1,1,1,8,0,10,11.Dan,-1,-1,1,NA,-1,1,1,1,0,0,0,14,M,42,Civil engineering resource planner,Cheshire
Dana,11,4,11.4,-0.4285714285714284,2,-1,5,8,0,6,11.Dana,0,1,1,NA,1,-1,-1,NA,0,0,1,14,F,25,Database administrator,Essex
Josh,11,4,11.4,-1.2857142857142858,0,-1,6,8,0,10,11.Josh,-1,1,0,NA,1,-1,-1,NA,0,0,-1,14,M,27,Chemical biology post-doctoral research associate,Leicestershire
Matty,11,4,11.4,2.142857142857143,1,2,2,8,1,10,11.Matty,0,1,0,NA,1,1,0,1,1,0,3,14,M,28,PE and science teacher,Cambridgeshire
Nicky,11,4,11.4,0.4285714285714287,1,3,4,8,0,5,11.Nicky,0,0,1,NA,1,1,1,1,0,0,4,14,F,52,Retired cabin crew and pet-therapy charity volunteer,Shropshire
Rowan,11,4,11.4,1.2857142857142858,2,-2,3,8,0,5,11.Rowan,0,1,1,NA,0,-1,-1,-1,0,0,0,14,M,21,English literature student,West Yorkshire
Saku,11,4,11.4,-3,-1,0,8,8,0,7,11.Saku,-1,1,-1,-1,-1,1,0,-1,0,0,-1,14,F,50,Intelligence analyst,Herefordshire
Cristy,11,5,11.5,0,3,3,5,9,0,8,11.Cristy,1,1,1,NA,1,1,1,1,1,0,6,14,F,33,Personal assistant,London
Dan,11,5,11.5,3,0,0,1,9,0,10,11.Dan,0,1,-1,NA,1,-1,0,NA,0,0,0,14,M,42,Civil engineering resource planner,Cheshire
Dana,11,5,11.5,2.25,2,-2,2,9,0,6,11.Dana,0,1,1,NA,-1,-1,0,-1,0,0,0,14,F,25,Database administrator,Essex
Josh,11,5,11.5,-2.25,0,3,8,9,0,10,11.Josh,-1,1,0,NA,1,1,1,1,0,0,3,14,M,27,Chemical biology post-doctoral research associate,Leicestershire
Matty,11,5,11.5,-1.5,1,-2,7,9,1,10,11.Matty,0,1,0,NA,-1,0,-1,-1,0,0,-1,14,M,28,PE and science teacher,Cambridgeshire
Nicky,11,5,11.5,-3,0,1,9,9,0,5,11.Nicky,-1,0,1,NA,-1,1,1,-1,0,1,1,14,F,52,Retired cabin crew and pet-therapy charity volunteer,Shropshire
Rowan,11,5,11.5,0.75,1,-3,4,9,0,5,11.Rowan,1,1,-1,NA,-1,-1,-1,-1,0,1,-2,14,M,21,English literature student,West Yorkshire
Saku,11,5,11.5,-0.75,0,1,6,9,0,7,11.Saku,-1,1,0,NA,0,0,1,-1,0,0,1,14,F,50,Intelligence analyst,Herefordshire
Tasha,11,5,11.5,1.5,3,0,3,9,0,9,11.Tasha,1,1,1,NA,0,1,-1,1,0,0,3,14,F,27,Children's charity participation officer,Bristol
Cristy,11,6,11.6,3,3,1,1,7,0,8,11.Cristy,1,1,1,1,-1,1,1,1,0,0,4,14,F,33,Personal assistant,London
Dan,11,6,11.6,1,1,1,3,7,0,10,11.Dan,0,1,0,NA,1,-1,1,NA,0,0,2,14,M,42,Civil engineering resource planner,Cheshire
Dana,11,6,11.6,-2,-2,-1,6,7,0,6,11.Dana,0,-1,-1,-1,-1,-1,1,-1,0,1,-3,14,F,25,Database administrator,Essex
Josh,11,6,11.6,2,3,3,2,7,0,10,11.Josh,1,1,1,1,1,1,1,1,1,0,6,14,M,27,Chemical biology post-doctoral research associate,Leicestershire
Matty,11,6,11.6,0,-1,-1,4,7,1,10,11.Matty,-1,-1,1,-1,-1,1,-1,-1,0,0,-2,14,M,28,PE and science teacher,Cambridgeshire
Saku,11,6,11.6,-0.9999999999999998,1,1,5,7,0,7,11.Saku,-1,1,1,NA,1,-1,1,-1,0,0,2,14,F,50,Intelligence analyst,Herefordshire
Tasha,11,6,11.6,-3,3,3,7,7,0,9,11.Tasha,1,1,1,NA,1,1,1,1,0,0,6,14,F,27,Children's charity participation officer,Bristol
Cristy,11,7,11.7,-0.5999999999999999,-2,0,4,6,0,8,11.Cristy,-1,-1,0,-1,-1,1,0,-1,0,0,-2,14,F,33,Personal assistant,London
Dan,11,7,11.7,1.7999999999999998,1,3,2,6,0,10,11.Dan,1,1,-1,1,1,1,1,1,1,0,4,14,M,42,Civil engineering resource planner,Cheshire
Josh,11,7,11.7,0.5999999999999999,0,3,3,6,0,10,11.Josh,-1,1,0,1,1,1,1,1,0,0,3,14,M,27,Chemical biology post-doctoral research associate,Leicestershire
Matty,11,7,11.7,-3,1,1,6,6,1,10,11.Matty,-1,1,1,1,1,-1,1,NA,0,0,2,14,M,28,PE and science teacher,Cambridgeshire
Saku,11,7,11.7,-1.8000000000000003,1,-2,5,6,0,7,11.Saku,-1,1,1,-1,0,-1,-1,-1,0,1,-1,14,F,50,Intelligence analyst,Herefordshire
Tasha,11,7,11.7,3,-1,2,1,6,0,9,11.Tasha,1,-1,-1,NA,0,1,1,NA,0,0,1,14,F,27,Children's charity participation officer,Bristol
Cristy,11,8,11.8,1.5,0,0,2,5,0,8,11.Cristy,-1,1,0,-1,0,1,-1,-1,0,1,0,14,F,33,Personal assistant,London
Dan,11,8,11.8,-3,1,1,5,5,0,10,11.Dan,0,0,1,-1,-1,1,1,-1,0,0,2,14,M,42,Civil engineering resource planner,Cheshire
Josh,11,8,11.8,-1.5,0,3,4,5,0,10,11.Josh,0,1,-1,-1,1,1,1,1,0,0,3,14,M,27,Chemical biology post-doctoral research associate,Leicestershire
Matty,11,8,11.8,0,3,1,3,5,1,10,11.Matty,1,1,1,1,-1,1,1,1,1,0,4,14,M,28,PE and science teacher,Cambridgeshire
Tasha,11,8,11.8,3,1,0,1,5,0,9,11.Tasha,-1,1,1,1,0,0,0,NA,0,0,1,14,F,27,Children's charity participation officer,Bristol
Dan,11,9,11.9,-0.9999999999999998,3,2,3,4,0,10,11.Dan,1,1,1,NA,1,0,1,1,0,0,5,14,M,42,Civil engineering resource planner,Cheshire
Josh,11,9,11.9,3,1,3,1,4,0,10,11.Josh,0,0,1,NA,1,1,1,1,1,0,4,14,M,27,Chemical biology post-doctoral research associate,Leicestershire
Matty,11,9,11.9,1,1,-1,2,4,1,10,11.Matty,-1,1,1,NA,-1,1,-1,-1,0,0,0,14,M,28,PE and science teacher,Cambridgeshire
Tasha,11,9,11.9,-3,2,0,4,4,0,9,11.Tasha,1,1,0,NA,-1,1,0,-1,0,1,2,14,F,27,Children's charity participation officer,Bristol
Dan,11,10,11.10,0,-1,0,2,3,0,10,11.Dan,-1,1,-1,-1,0,1,-1,NA,0,1,-1,14,M,42,Civil engineering resource planner,Cheshire
Josh,11,10,11.10,3,3,0,1,3,0,10,11.Josh,1,1,1,1,0,0,0,NA,0,1,3,14,M,27,Chemical biology post-doctoral research associate,Leicestershire
Matty,11,10,11.10,-3,0,2,3,3,1,10,11.Matty,1,0,-1,NA,1,1,0,NA,1,0,2,14,M,28,PE and science teacher,Cambridgeshire
Andy,12,1,12.1,-1.1999999999999997,1,1,8,11,0,5,12.Andy,-1,1,1,NA,-1,1,1,NA,0,0,2,NA,NA,NA,NA,NA
Christiaan,12,1,12.1,2.4000000000000004,-1,-1,2,11,0,10,12.Christiaan,-1,-1,1,-1,-1,-1,1,-1,0,0,-2,NA,NA,NA,NA,NA
Dylan,12,1,12.1,1.2000000000000002,1,3,4,11,0,10,12.Dylan,-1,1,1,NA,1,1,1,NA,0,0,4,NA,NA,NA,NA,NA
Georgie,12,1,12.1,3,0,2,1,11,1,10,12.Georgie,0,1,-1,1,0,1,1,1,0,0,2,NA,NA,NA,NA,NA
Gill,12,1,12.1,0,1,3,6,11,0,9,12.Gill,1,1,-1,NA,1,1,1,NA,0,0,4,NA,NA,NA,NA,NA
Hazel,12,1,12.1,-2.4000000000000004,-1,-1,10,11,0,2,12.Hazel,-1,0,0,-1,-1,1,-1,-1,0,0,-2,NA,NA,NA,NA,NA
Illiyin,12,1,12.1,-0.5999999999999999,3,2,7,11,0,8,12.Illiyin,1,1,1,NA,1,1,0,NA,0,0,5,NA,NA,NA,NA,NA
John,12,1,12.1,1.7999999999999998,2,3,3,11,0,3,12.John,1,1,0,1,1,1,1,1,1,0,5,NA,NA,NA,NA,NA
Mike,12,1,12.1,-3,0,3,11,11,0,4,12.Mike,0,1,-1,-1,1,1,1,NA,0,0,3,NA,NA,NA,NA,NA
Nelly,12,1,12.1,0.5999999999999999,2,2,5,11,0,6,12.Nelly,1,1,0,NA,1,1,0,NA,0,0,4,NA,NA,NA,NA,NA
Sumayah,12,1,12.1,-1.8000000000000003,3,3,9,11,0,7,12.Sumayah,1,1,1,NA,1,1,1,1,0,0,6,NA,NA,NA,NA,NA
Andy,12,2,12.2,-2.4000000000000004,3,2,10,11,0,5,12.Andy,1,1,1,NA,1,1,0,NA,0,0,5,NA,NA,NA,NA,NA
Christiaan,12,2,12.2,0,2,3,6,11,0,10,12.Christiaan,1,1,0,NA,1,1,1,1,0,0,5,NA,NA,NA,NA,NA
Dylan,12,2,12.2,-3,3,3,11,11,0,10,12.Dylan,1,1,1,NA,1,1,1,NA,0,0,6,NA,NA,NA,NA,NA
Georgie,12,2,12.2,-1.8000000000000003,-2,-1,9,11,1,10,12.Georgie,-1,0,-1,-1,-1,1,-1,-1,0,0,-3,NA,NA,NA,NA,NA
Gill,12,2,12.2,1.2000000000000002,3,3,4,11,0,9,12.Gill,1,1,1,NA,1,1,1,NA,0,0,6,NA,NA,NA,NA,NA
Hazel,12,2,12.2,0.5999999999999999,-3,-1,5,11,0,2,12.Hazel,-1,-1,-1,-1,-1,0,0,-1,0,1,-4,NA,NA,NA,NA,NA
Illiyin,12,2,12.2,-1.1999999999999997,1,1,8,11,0,8,12.Illiyin,0,1,0,-1,0,1,0,-1,0,0,2,NA,NA,NA,NA,NA
John,12,2,12.2,2.4000000000000004,2,1,2,11,0,3,12.John,0,1,1,1,0,1,0,NA,0,0,3,NA,NA,NA,NA,NA
Mike,12,2,12.2,3,2,1,1,11,0,4,12.Mike,1,1,0,NA,-1,1,1,NA,0,0,3,NA,NA,NA,NA,NA
Nelly,12,2,12.2,-0.5999999999999999,1,3,7,11,0,6,12.Nelly,1,1,-1,NA,1,1,1,NA,0,0,4,NA,NA,NA,NA,NA
Sumayah,12,2,12.2,1.7999999999999998,3,3,3,11,0,7,12.Sumayah,1,1,1,1,1,1,1,1,1,0,6,NA,NA,NA,NA,NA
Andy,12,3,12.3,1.6666666666666667,3,-2,3,10,0,5,12.Andy,1,1,1,NA,0,-1,-1,-1,0,0,1,NA,NA,NA,NA,NA
Christiaan,12,3,12.3,-1.6666666666666667,3,0,8,10,0,10,12.Christiaan,1,1,1,NA,-1,1,0,NA,0,0,3,NA,NA,NA,NA,NA
Dylan,12,3,12.3,-3,3,3,10,10,0,10,12.Dylan,1,1,1,NA,1,1,1,1,1,0,6,NA,NA,NA,NA,NA
Georgie,12,3,12.3,-0.9999999999999998,3,3,7,10,1,10,12.Georgie,1,1,1,NA,1,1,1,1,0,0,6,NA,NA,NA,NA,NA
Gill,12,3,12.3,0.3333333333333335,3,2,5,10,0,9,12.Gill,1,1,1,NA,0,1,1,NA,0,0,5,NA,NA,NA,NA,NA
Illiyin,12,3,12.3,1,2,3,4,10,0,8,12.Illiyin,1,1,0,NA,1,1,1,NA,0,0,5,NA,NA,NA,NA,NA
John,12,3,12.3,-2.333333333333333,1,2,9,10,0,3,12.John,-1,1,1,-1,0,1,1,-1,0,1,3,NA,NA,NA,NA,NA
Mike,12,3,12.3,-0.3333333333333335,2,-1,6,10,0,4,12.Mike,0,1,1,NA,-1,-1,1,NA,0,0,1,NA,NA,NA,NA,NA
Nelly,12,3,12.3,3,3,3,1,10,0,6,12.Nelly,1,1,1,1,1,1,1,1,0,0,6,NA,NA,NA,NA,NA
Sumayah,12,3,12.3,2.3333333333333335,0,1,2,10,0,7,12.Sumayah,-1,1,0,NA,0,0,1,NA,0,0,1,NA,NA,NA,NA,NA
Andy,12,4,12.4,-3,3,2,9,9,0,5,12.Andy,1,1,1,NA,0,1,1,NA,0,0,5,NA,NA,NA,NA,NA
Christiaan,12,4,12.4,2.25,3,1,2,9,0,10,12.Christiaan,1,1,1,1,-1,1,1,NA,0,0,4,NA,NA,NA,NA,NA
Dylan,12,4,12.4,0,2,2,5,9,0,10,12.Dylan,1,1,0,1,1,1,0,1,0,0,4,NA,NA,NA,NA,NA
Georgie,12,4,12.4,3,3,2,1,9,1,10,12.Georgie,1,1,1,1,1,1,0,1,1,0,5,NA,NA,NA,NA,NA
Gill,12,4,12.4,-2.25,3,2,8,9,0,9,12.Gill,1,1,1,NA,0,1,1,NA,0,0,5,NA,NA,NA,NA,NA
Illiyin,12,4,12.4,0.75,3,0,4,9,0,8,12.Illiyin,1,1,1,NA,1,0,-1,NA,0,0,3,NA,NA,NA,NA,NA
Mike,12,4,12.4,-1.5,0,0,7,9,0,4,12.Mike,-1,1,0,-1,-1,0,1,-1,0,1,0,NA,NA,NA,NA,NA
Nelly,12,4,12.4,-0.75,1,3,6,9,0,6,12.Nelly,-1,1,1,-1,1,1,1,NA,0,0,4,NA,NA,NA,NA,NA
Sumayah,12,4,12.4,1.5,1,-2,3,9,0,7,12.Sumayah,-1,1,1,NA,-1,-1,0,-1,0,0,-1,NA,NA,NA,NA,NA
Andy,12,5,12.5,-2.1428571428571423,-1,-1,7,8,0,5,12.Andy,-1,1,-1,NA,0,0,-1,-1,0,1,-2,NA,NA,NA,NA,NA
Christiaan,12,5,12.5,2.142857142857143,-1,1,2,8,0,10,12.Christiaan,-1,0,0,NA,-1,1,1,NA,0,0,0,NA,NA,NA,NA,NA
Dylan,12,5,12.5,3,1,1,1,8,0,10,12.Dylan,1,-1,1,NA,-1,1,1,NA,0,0,2,NA,NA,NA,NA,NA
Georgie,12,5,12.5,-1.2857142857142858,3,0,6,8,1,10,12.Georgie,1,1,1,NA,-1,1,0,NA,0,0,3,NA,NA,NA,NA,NA
Gill,12,5,12.5,-3,3,3,8,8,0,9,12.Gill,1,1,1,NA,1,1,1,1,1,0,6,NA,NA,NA,NA,NA
Illiyin,12,5,12.5,-0.4285714285714284,-2,2,5,8,0,8,12.Illiyin,-1,-1,0,NA,1,1,0,-1,0,0,0,NA,NA,NA,NA,NA
Nelly,12,5,12.5,1.2857142857142858,-1,1,3,8,0,6,12.Nelly,-1,1,-1,NA,-1,1,1,NA,0,0,0,NA,NA,NA,NA,NA
Sumayah,12,5,12.5,0.4285714285714287,1,2,4,8,0,7,12.Sumayah,-1,1,1,NA,0,1,1,1,0,0,3,NA,NA,NA,NA,NA
Christiaan,12,6,12.6,-2,3,3,6,7,0,10,12.Christiaan,1,1,1,NA,1,1,1,NA,0,0,6,NA,NA,NA,NA,NA
Dylan,12,6,12.6,0,1,0,4,7,0,10,12.Dylan,-1,1,1,NA,0,1,-1,-1,0,0,1,NA,NA,NA,NA,NA
Georgie,12,6,12.6,2,-3,3,2,7,1,10,12.Georgie,-1,-1,-1,NA,1,1,1,NA,0,0,0,NA,NA,NA,NA,NA
Gill,12,6,12.6,-3,3,3,7,7,0,9,12.Gill,1,1,1,NA,1,1,1,1,0,0,6,NA,NA,NA,NA,NA
Illiyin,12,6,12.6,3,-1,3,1,7,0,8,12.Illiyin,-1,1,-1,NA,1,1,1,NA,0,0,2,NA,NA,NA,NA,NA
Nelly,12,6,12.6,-0.9999999999999998,2,-1,5,7,0,6,12.Nelly,1,1,0,NA,-1,-1,1,-1,0,1,1,NA,NA,NA,NA,NA
Sumayah,12,6,12.6,1,1,3,3,7,0,7,12.Sumayah,1,-1,1,NA,1,1,1,1,1,0,4,NA,NA,NA,NA,NA
Christiaan,12,7,12.7,0.5999999999999999,0,2,3,6,0,10,12.Christiaan,0,-1,1,-1,0,1,1,NA,0,0,2,NA,NA,NA,NA,NA
Dylan,12,7,12.7,3,3,3,1,6,0,10,12.Dylan,1,1,1,1,1,1,1,1,1,0,6,NA,NA,NA,NA,NA
Georgie,12,7,12.7,1.7999999999999998,1,3,2,6,1,10,12.Georgie,0,1,0,1,1,1,1,1,0,0,4,NA,NA,NA,NA,NA
Gill,12,7,12.7,-0.5999999999999999,0,3,4,6,0,9,12.Gill,0,-1,1,-1,1,1,1,-1,0,0,3,NA,NA,NA,NA,NA
Illiyin,12,7,12.7,-1.8000000000000003,0,3,5,6,0,8,12.Illiyin,0,1,-1,-1,1,1,1,-1,0,0,3,NA,NA,NA,NA,NA
Sumayah,12,7,12.7,-3,1,-1,6,6,0,7,12.Sumayah,0,0,1,-1,0,-1,0,-1,0,1,0,NA,NA,NA,NA,NA
Christiaan,12,8,12.8,1.5,3,0,2,5,0,10,12.Christiaan,1,1,1,1,1,-1,0,-1,0,0,3,NA,NA,NA,NA,NA
Dylan,12,8,12.8,0,3,2,3,5,0,10,12.Dylan,1,1,1,1,1,0,1,1,0,0,5,NA,NA,NA,NA,NA
Georgie,12,8,12.8,3,2,3,1,5,1,10,12.Georgie,0,1,1,1,1,1,1,1,1,0,5,NA,NA,NA,NA,NA
Gill,12,8,12.8,-3,1,2,5,5,0,9,12.Gill,0,1,0,-1,0,1,1,-1,0,0,3,NA,NA,NA,NA,NA
Illiyin,12,8,12.8,-1.5,1,-1,4,5,0,8,12.Illiyin,0,1,0,-1,-1,1,-1,-1,0,1,0,NA,NA,NA,NA,NA
Christiaan,12,9,12.9,-0.9999999999999998,2,3,3,4,0,10,12.Christiaan,0,1,1,1,1,1,1,1,1,0,5,NA,NA,NA,NA,NA
Dylan,12,9,12.9,3,-2,2,1,4,0,10,12.Dylan,-1,0,-1,NA,0,1,1,1,0,0,0,NA,NA,NA,NA,NA
Georgie,12,9,12.9,-3,1,3,4,4,1,10,12.Georgie,-1,1,1,NA,1,1,1,-1,0,0,4,NA,NA,NA,NA,NA
Gill,12,9,12.9,1,0,3,2,4,0,9,12.Gill,-1,1,0,NA,1,1,1,-1,0,1,3,NA,NA,NA,NA,NA
Christiaan,12,10,12.10,3,2,0,1,3,0,10,12.Christiaan,0,1,1,NA,-1,0,1,NA,0,1,2,NA,NA,NA,NA,NA
Dylan,12,10,12.10,-3,-3,0,3,3,0,10,12.Dylan,-1,-1,-1,NA,-1,1,0,NA,0,1,-3,NA,NA,NA,NA,NA
Georgie,12,10,12.10,0,0,3,2,3,1,10,12.Georgie,0,1,-1,NA,1,1,1,NA,1,0,3,NA,NA,NA,NA,NA
Aaron,13,1,13.1,1.3636363636363638,3,-2,4,12,0,10,13.Aaron,1,1,1,NA,0,-1,-1,NA,0,0,1,NA,NA,NA,NA,NA
Hassan,13,1,13.1,-1.9090909090909094,0,0,10,12,0,1,13.Hassan,0,1,-1,-1,1,0,-1,-1,0,1,0,NA,NA,NA,NA,NA
Iain,13,1,13.1,-0.8181818181818181,2,2,8,12,0,8,13.Iain,0,1,1,NA,0,1,1,NA,0,0,4,NA,NA,NA,NA,NA
Jasmine,13,1,13.1,-1.3636363636363638,1,1,9,12,1,10,13.Jasmine,-1,1,1,NA,0,1,0,NA,0,0,2,NA,NA,NA,NA,NA
Jessika,13,1,13.1,2.454545454545454,0,3,2,12,0,4,13.Jessika,-1,1,0,NA,1,1,1,1,0,0,3,NA,NA,NA,NA,NA
Leighton,13,1,13.1,0.2727272727272728,1,-1,6,12,0,2,13.Leighton,-1,1,1,-1,-1,1,-1,-1,0,0,0,NA,NA,NA,NA,NA
Lesley,13,1,13.1,0.8181818181818181,1,3,5,12,0,7,13.Lesley,1,1,-1,NA,1,1,1,NA,0,0,4,NA,NA,NA,NA,NA
Nadia,13,1,13.1,-0.2727272727272725,-2,1,7,12,0,5,13.Nadia,0,-1,-1,NA,-1,1,1,NA,0,0,-1,NA,NA,NA,NA,NA
Nataliia,13,1,13.1,1.9090909090909092,1,3,3,12,0,6,13.Nataliia,-1,1,1,1,1,1,1,1,1,0,4,NA,NA,NA,NA,NA
Pui Man,13,1,13.1,-2.454545454545454,2,0,11,12,0,3,13.Pui Man,0,1,1,NA,0,1,-1,NA,0,0,2,NA,NA,NA,NA,NA
Toby,13,1,13.1,3,-1,-1,1,12,0,9,13.Toby,-1,1,-1,NA,-1,1,-1,-1,0,0,-2,NA,NA,NA,NA,NA
Tom,13,1,13.1,-3,3,3,12,12,0,10,13.Tom,1,1,1,NA,1,1,1,1,0,0,6,NA,NA,NA,NA,NA
Aaron,13,2,13.2,-1.1999999999999997,3,1,8,11,0,10,13.Aaron,1,1,1,NA,1,1,-1,-1,0,0,4,NA,NA,NA,NA,NA
Iain,13,2,13.2,0.5999999999999999,0,2,5,11,0,8,13.Iain,0,1,-1,NA,0,1,1,NA,0,0,2,NA,NA,NA,NA,NA
Jasmine,13,2,13.2,1.2000000000000002,1,3,4,11,1,10,13.Jasmine,-1,1,1,1,1,1,1,1,0,0,4,NA,NA,NA,NA,NA
Jessika,13,2,13.2,-0.5999999999999999,1,2,7,11,0,4,13.Jessika,-1,1,1,NA,0,1,1,NA,0,0,3,NA,NA,NA,NA,NA
Leighton,13,2,13.2,-2.4000000000000004,3,0,10,11,0,2,13.Leighton,1,1,1,NA,0,1,-1,-1,0,1,3,NA,NA,NA,NA,NA
Lesley,13,2,13.2,-1.8000000000000003,-2,3,9,11,0,7,13.Lesley,-1,-1,0,NA,1,1,1,NA,0,0,1,NA,NA,NA,NA,NA
Nadia,13,2,13.2,2.4000000000000004,-1,3,2,11,0,5,13.Nadia,-1,-1,1,NA,1,1,1,NA,0,0,2,NA,NA,NA,NA,NA
Nataliia,13,2,13.2,1.7999999999999998,-1,-1,3,11,0,6,13.Nataliia,-1,1,-1,NA,0,0,-1,NA,0,0,-2,NA,NA,NA,NA,NA
Pui Man,13,2,13.2,-3,-2,3,11,11,0,3,13.Pui Man,-1,-1,0,-1,1,1,1,-1,0,0,1,NA,NA,NA,NA,NA
Toby,13,2,13.2,3,-1,-1,1,11,0,9,13.Toby,0,-1,0,NA,-1,-1,1,-1,0,0,-2,NA,NA,NA,NA,NA
Tom,13,2,13.2,0,1,3,6,11,0,10,13.Tom,-1,1,1,1,1,1,1,1,1,0,4,NA,NA,NA,NA,NA
Aaron,13,3,13.3,1.6666666666666667,-1,3,3,10,0,10,13.Aaron,-1,1,-1,NA,1,1,1,1,0,0,2,NA,NA,NA,NA,NA
Iain,13,3,13.3,-0.3333333333333335,2,-3,6,10,0,8,13.Iain,0,1,1,NA,-1,-1,-1,-1,0,0,-1,NA,NA,NA,NA,NA
Jasmine,13,3,13.3,3,2,3,1,10,1,10,13.Jasmine,0,1,1,1,1,1,1,1,1,0,5,NA,NA,NA,NA,NA
Jessika,13,3,13.3,-0.9999999999999998,3,0,7,10,0,4,13.Jessika,1,1,1,NA,1,-1,0,NA,0,0,3,NA,NA,NA,NA,NA
Lesley,13,3,13.3,-2.333333333333333,2,3,9,10,0,7,13.Lesley,1,0,1,NA,1,1,1,NA,0,0,5,NA,NA,NA,NA,NA
Nadia,13,3,13.3,2.3333333333333335,-1,3,2,10,0,5,13.Nadia,-1,1,-1,1,1,1,1,1,0,0,2,NA,NA,NA,NA,NA
Nataliia,13,3,13.3,-1.6666666666666667,-1,0,8,10,0,6,13.Nataliia,-1,-1,1,-1,-1,1,0,-1,0,0,-1,NA,NA,NA,NA,NA
Pui Man,13,3,13.3,-3,-3,2,10,10,0,3,13.Pui Man,-1,-1,-1,-1,1,1,0,-1,0,1,-1,NA,NA,NA,NA,NA
Toby,13,3,13.3,1,1,1,4,10,0,9,13.Toby,0,0,1,NA,-1,1,1,NA,0,0,2,NA,NA,NA,NA,NA
Tom,13,3,13.3,0.3333333333333335,2,3,5,10,0,10,13.Tom,0,1,1,NA,1,1,1,1,0,0,5,NA,NA,NA,NA,NA
Aaron,13,4,13.4,2.25,3,0,2,9,0,10,13.Aaron,1,1,1,1,0,1,-1,NA,0,0,3,NA,NA,NA,NA,NA
Iain,13,4,13.4,1.5,0,-1,3,9,0,8,13.Iain,-1,0,1,NA,0,0,-1,-1,0,0,-1,NA,NA,NA,NA,NA
Jasmine,13,4,13.4,3,3,3,1,9,1,10,13.Jasmine,1,1,1,1,1,1,1,1,1,0,6,NA,NA,NA,NA,NA
Jessika,13,4,13.4,-1.5,1,-3,7,9,0,4,13.Jessika,-1,1,1,-1,-1,-1,-1,-1,0,1,-2,NA,NA,NA,NA,NA
Lesley,13,4,13.4,0,-3,3,5,9,0,7,13.Lesley,-1,-1,-1,NA,1,1,1,NA,0,0,0,NA,NA,NA,NA,NA
Nadia,13,4,13.4,-3,-2,2,9,9,0,5,13.Nadia,0,-1,-1,-1,0,1,1,NA,0,0,0,NA,NA,NA,NA,NA
Nataliia,13,4,13.4,-2.25,-3,3,8,9,0,6,13.Nataliia,-1,-1,-1,-1,1,1,1,NA,0,0,0,NA,NA,NA,NA,NA
Toby,13,4,13.4,0.75,2,1,4,9,0,9,13.Toby,1,0,1,1,1,1,-1,1,0,0,3,NA,NA,NA,NA,NA
Tom,13,4,13.4,-0.75,3,3,6,9,0,10,13.Tom,1,1,1,NA,1,1,1,1,0,0,6,NA,NA,NA,NA,NA
Aaron,13,5,13.5,1.2857142857142858,2,3,3,8,0,10,13.Aaron,0,1,1,NA,1,1,1,1,1,0,5,NA,NA,NA,NA,NA
Iain,13,5,13.5,-2.1428571428571423,3,3,7,8,0,8,13.Iain,1,1,1,NA,1,1,1,NA,0,0,6,NA,NA,NA,NA,NA
Jasmine,13,5,13.5,2.142857142857143,1,3,2,8,1,10,13.Jasmine,-1,1,1,NA,1,1,1,1,0,0,4,NA,NA,NA,NA,NA
Lesley,13,5,13.5,3,0,2,1,8,0,7,13.Lesley,-1,1,0,NA,0,1,1,1,0,0,2,NA,NA,NA,NA,NA
Nadia,13,5,13.5,-3,0,1,8,8,0,5,13.Nadia,-1,1,0,NA,1,1,-1,-1,0,1,1,NA,NA,NA,NA,NA
Nataliia,13,5,13.5,-1.2857142857142858,1,3,6,8,0,6,13.Nataliia,-1,1,1,NA,1,1,1,NA,0,0,4,NA,NA,NA,NA,NA
Toby,13,5,13.5,-0.4285714285714284,-1,-1,5,8,0,9,13.Toby,-1,1,-1,NA,-1,-1,1,-1,0,0,-2,NA,NA,NA,NA,NA
Tom,13,5,13.5,0.4285714285714287,3,2,4,8,0,10,13.Tom,1,1,1,NA,0,1,1,NA,0,0,5,NA,NA,NA,NA,NA
Aaron,13,6,13.6,-3,3,0,7,7,0,10,13.Aaron,1,1,1,NA,0,0,0,-1,0,0,3,NA,NA,NA,NA,NA
Iain,13,6,13.6,2,-1,2,2,7,0,8,13.Iain,0,-1,0,NA,1,0,1,NA,0,0,1,NA,NA,NA,NA,NA
Jasmine,13,6,13.6,3,3,2,1,7,1,10,13.Jasmine,1,1,1,NA,1,0,1,1,1,0,5,NA,NA,NA,NA,NA
Lesley,13,6,13.6,1,2,1,3,7,0,7,13.Lesley,0,1,1,NA,0,1,0,1,0,0,3,NA,NA,NA,NA,NA
Nataliia,13,6,13.6,-0.9999999999999998,0,0,5,7,0,6,13.Nataliia,-1,1,0,NA,-1,0,1,-1,0,1,0,NA,NA,NA,NA,NA
Toby,13,6,13.6,0,0,2,4,7,0,9,13.Toby,-1,1,0,NA,1,1,0,NA,0,0,2,NA,NA,NA,NA,NA
