contestant,series,round,episode,tech_rank_scaled,sig_sum,showstopper_sum,tech_rank,n_remaining,series_winner,eliminated_round,baker_id,signature_bake,signature_flavor,signature_looks,first_half_review,showstopper_bake,showstopper_flavor,showstopper_looks,second_half_review,star_baker,eliminated,sig_ss_sum,season,gender,age,occupation,hometown
Rahul,6,2,6.2,2.4000000000000004,3,3,2,11,1,10,6.Rahul,1,1,1,NA,1,1,1,1,1,0,6,9,M,30,Research scientist,Rotherham
Ruby,6,2,6.2,-2.4000000000000004,0,3,10,11,0,10,6.Ruby,1,0,-1,-1,1,1,1,NA,0,0,3,9,F,29,Project manager,London
Terry,6,2,6.2,-1.1999999999999997,2,0,8,11,0,5,6.Terry,1,1,0,-1,0,-1,1,-1,0,0,2,9,M,56,Retired air steward,West Midlands
Antony,6,3,6.3,-1.6666666666666667,1,-1,8,10,0,3,6.Antony,-1,1,1,-1,-1,0,0,-1,0,1,0,9,M,30,Banker,London
Briony,6,3,6.3,-2.333333333333333,1,-3,9,10,0,9,6.Briony,1,1,-1,-1,-1,-1,-1,-1,0,0,-2,9,F,33,Stay at home parent,Bristol
Dan,6,3,6.3,-0.3333333333333335,3,1,6,10,0,6,6.Dan,1,1,1,1,1,-1,1,1,0,0,4,9,M,36,Stay at home parent,London
Jon,6,3,6.3,2.3333333333333335,1,-1,2,10,0,7,6.Jon,-1,1,1,NA,-1,1,-1,NA,0,0,0,9,M,47,Blood courier,Newport
Karen,6,3,6.3,0.3333333333333335,3,-1,5,10,0,5,6.Karen,1,1,1,NA,-1,-1,1,NA,0,0,2,9,F,60,In-store sampling assistant,Wakefield
Kim-Joy,6,3,6.3,-3,3,1,10,10,0,10,6.Kim-Joy,1,1,1,-1,-1,1,1,NA,0,0,4,9,F,27,Mental health specialist,Leeds
Manon,6,3,6.3,1.6666666666666667,1,-1,3,10,0,8,6.Manon,-1,1,1,NA,-1,-1,1,NA,0,0,0,9,F,26,Software project manager,London
Rahul,6,3,6.3,1,2,3,4,10,1,10,6.Rahul,1,1,0,1,1,1,1,1,1,0,5,9,M,30,Research scientist,Rotherham
Ruby,6,3,6.3,-0.9999999999999998,-1,3,7,10,0,10,6.Ruby,-1,0,0,-1,1,1,1,NA,0,0,2,9,F,29,Project manager,London
Terry,6,3,6.3,3,3,1,1,10,0,5,6.Terry,1,1,1,NA,-1,1,1,NA,0,0,4,9,M,56,Retired air steward,West Midlands
Briony,6,4,6.4,-0.4285714285714284,-1,1,5,8,0,9,6.Briony,-1,1,-1,-1,1,1,-1,-1,0,0,0,9,F,33,Stay at home parent,Bristol
Dan,6,4,6.4,3,3,2,1,8,0,6,6.Dan,1,1,1,1,1,1,0,1,1,0,5,9,M,36,Stay at home parent,London
Jon,6,4,6.4,1.2857142857142858,3,3,3,8,0,7,6.Jon,1,1,1,1,1,1,1,1,0,0,6,9,M,47,Blood courier,Newport
Karen,6,4,6.4,-2.1428571428571423,-2,2,7,8,0,5,6.Karen,-1,0,-1,-1,1,0,1,-1,0,0,0,9,F,60,In-store sampling assistant,Wakefield
Kim-Joy,6,4,6.4,-1.2857142857142858,0,3,6,8,0,10,6.Kim-Joy,0,1,-1,-1,1,1,1,NA,0,0,3,9,F,27,Mental health specialist,Leeds
Manon,6,4,6.4,-3,2,3,8,8,0,8,6.Manon,1,1,0,-1,1,1,1,NA,0,0,5,9,F,26,Software project manager,London
Rahul,6,4,6.4,0.4285714285714287,0,3,4,8,1,10,6.Rahul,-1,1,0,1,1,1,1,1,0,0,3,9,M,30,Research scientist,Rotherham
Ruby,6,4,6.4,2.142857142857143,3,-3,2,8,0,10,6.Ruby,1,1,1,1,-1,-1,-1,NA,0,0,0,9,F,29,Project manager,London
Briony,6,5,6.5,-0.75,-1,0,6,9,0,9,6.Briony,-1,-1,1,-1,0,0,0,-1,0,0,-1,9,F,33,Stay at home parent,Bristol
