season,contestant,gender,age,occupation,hometown,round,technical,series
11,Peter,M,20,Accounting & finance student,Edinburgh,9,1,8
11,Dave,M,30,Armoured security guard,"Waterlooville, Hampshire",10,1,8
11,Laura,F,31,Digital manager,"Gravesend, Kent",10,3,8
11,Peter,M,20,Accounting & finance student,Edinburgh,10,2,8
12,Amanda,F,56,Metropolitan Police detective,London,1,12,9
12,Chigs,M,40,Sales manager,Leicester,1,11,9
12,Crystelle,F,26,Client relationship manager,London,1,8,9
12,Freya,F,19,Student,"Scarborough, North Yorkshire",1,2,9
12,George,M,34,Shared lives coordinator,London,1,3,9
12,Giuseppe,M,45,Chief engineer,Bristol,1,10,9
12,Jairzeno,M,51,Head of Finance,London,1,9,9
12,Jürgen,M,56,Physicist,"Brighton, East Sussex",1,6,9
12,Lizzie,F,28,Car production operative,Liverpool,1,4,9
12,Maggie,F,70,Retired nurse and midwife,"Poole, Dorset",1,1,9
12,Rochica,F,27,Junior HR business partner,Birmingham,1,7,9
12,Tom,M,28,Software developer,"Maidstone, Kent",1,5,9
12,Amanda,F,56,Metropolitan Police detective,London,2,4,9
12,Chigs,M,40,Sales manager,Leicester,2,7,9
12,Crystelle,F,26,Client relationship manager,London,2,10,9
12,Freya,F,19,Student,"Scarborough, North Yorkshire",2,3,9
12,George,M,34,Shared lives coordinator,London,2,8,9
12,Giuseppe,M,45,Chief engineer,Bristol,2,2,9
12,Jairzeno,M,51,Head of Finance,London,2,9,9
12,Jürgen,M,56,Physicist,"Brighton, East Sussex",2,1,9
12,Lizzie,F,28,Car production operative,Liverpool,2,6,9
12,Maggie,F,70,Retired nurse and midwife,"Poole, Dorset",2,5,9
12,Rochica,F,27,Junior HR business partner,Birmingham,2,11,9
12,Amanda,F,56,Metropolitan Police detective,London,3,3,9
12,Chigs,M,40,Sales manager,Leicester,3,6,9
12,Crystelle,F,26,Client relationship manager,London,3,9,9
12,Freya,F,19,Student,"Scarborough, North Yorkshire",3,4,9
12,George,M,34,Shared lives coordinator,London,3,7,9
12,Giuseppe,M,45,Chief engineer,Bristol,3,1,9
12,Jürgen,M,56,Physicist,"Brighton, East Sussex",3,5,9
12,Lizzie,F,28,Car production operative,Liverpool,3,2,9
12,Maggie,F,70,Retired nurse and midwife,"Poole, Dorset",3,8,9
12,Rochica,F,27,Junior HR business partner,Birmingham,3,10,9
12,Amanda,F,56,Metropolitan Police detective,London,4,8,9
12,Chigs,M,40,Sales manager,Leicester,4,3,9
12,Crystelle,F,26,Client relationship manager,London,4,5,9
12,Freya,F,19,Student,"Scarborough, North Yorkshire",4,6,9
12,George,M,34,Shared lives coordinator,London,4,7,9
12,Giuseppe,M,45,Chief engineer,Bristol,4,4,9
12,Jürgen,M,56,Physicist,"Brighton, East Sussex",4,1,9
12,Lizzie,F,28,Car production operative,Liverpool,4,2,9
12,Maggie,F,70,Retired nurse and midwife,"Poole, Dorset",4,9,9
12,Amanda,F,56,Metropolitan Police detective,London,5,8,9
12,Chigs,M,40,Sales manager,Leicester,5,2,9
12,Crystelle,F,26,Client relationship manager,London,5,7,9
12,Freya,F,19,Student,"Scarborough, North Yorkshire",5,5,9
12,George,M,34,Shared lives coordinator,London,5,6,9
12,Giuseppe,M,45,Chief engineer,Bristol,5,1,9
12,Jürgen,M,56,Physicist,"Brighton, East Sussex",5,4,9
12,Lizzie,F,28,Car production operative,Liverpool,5,3,9
12,Amanda,F,56,Metropolitan Police detective,London,6,5,9
12,Chigs,M,40,Sales manager,Leicester,6,3,9
12,Crystelle,F,26,Client relationship manager,London,6,2,9
12,George,M,34,Shared lives coordinator,London,6,6,9
12,Giuseppe,M,45,Chief engineer,Bristol,6,4,9
12,Jürgen,M,56,Physicist,"Brighton, East Sussex",6,1,9
12,Lizzie,F,28,Car production operative,Liverpool,6,7,9
12,Chigs,M,40,Sales manager,Leicester,7,3,9
12,Crystelle,F,26,Client relationship manager,London,7,4,9
12,George,M,34,Shared lives coordinator,London,7,6,9
12,Giuseppe,M,45,Chief engineer,Bristol,7,1,9
12,Jürgen,M,56,Physicist,"Brighton, East Sussex",7,2,9
12,Lizzie,F,28,Car production operative,Liverpool,7,5,9
12,Chigs,M,40,Sales manager,Leicester,8,1,9
12,Crystelle,F,26,Client relationship manager,London,8,5,9
12,Giuseppe,M,45,Chief engineer,Bristol,8,2,9
12,Jürgen,M,56,Physicist,"Brighton, East Sussex",8,4,9
12,Lizzie,F,28,Car production operative,Liverpool,8,3,9
12,Chigs,M,40,Sales manager,Leicester,9,4,9
12,Crystelle,F,26,Client relationship manager,London,9,3,9
12,Giuseppe,M,45,Chief engineer,Bristol,9,2,9
12,Jürgen,M,56,Physicist,"Brighton, East Sussex",9,1,9
12,Chigs,M,40,Sales manager,Leicester,10,2,9
12,Crystelle,F,26,Client relationship manager,London,10,1,9
12,Giuseppe,M,45,Chief engineer,Bristol,10,3,9
13,Abdul,M,29,Electronics engineer,London,1,6,10
13,Carole,F,59,Supermarket cashier,Dorset,1,8,10
13,Dawn,F,60,IT manager,Bedfordshire,1,3,10
13,James,M,25,Nuclear scientist,Cumbria,1,12,10
13,Janusz,M,34,Personal assistant to head teacher,East Sussex,1,7,10
13,Kevin,M,33,Music teacher,Lanarkshire,1,4,10
13,Maisam,F,18,Student and sales assistant,Greater Manchester,1,5,10
13,Maxy,F,29,Architectural assistant,London,1,10,10
13,Rebs,F,23,Masters student,County Antrim,1,11,10
13,Sandro,M,30,Nanny,London,1,2,10
13,Syabira,F,32,Cardiovascular research associate,London,1,1,10
13,Will,M,45,Former charity director,London,1,9,10
13,Abdul,M,29,Electronics engineer,London,2,11,10
13,Carole,F,59,Supermarket cashier,Dorset,2,4,10
13,Dawn,F,60,IT manager,Bedfordshire,2,9,10
13,James,M,25,Nuclear scientist,Cumbria,2,2,10
13,Janusz,M,34,Personal assistant to head teacher,East Sussex,2,6,10
13,Kevin,M,33,Music teacher,Lanarkshire,2,8,10
13,Maisam,F,18,Student and sales assistant,Greater Manchester,2,7,10
13,Maxy,F,29,Architectural assistant,London,2,5,10
13,Rebs,F,23,Masters student,County Antrim,2,1,10
13,Sandro,M,30,Nanny,London,2,3,10
13,Syabira,F,32,Cardiovascular research associate,London,2,10,10
13,Carole,F,59,Supermarket cashier,Dorset,3,8,10
13,Dawn,F,60,IT manager,Bedfordshire,3,6,10
13,James,M,25,Nuclear scientist,Cumbria,3,3,10
13,Janusz,M,34,Personal assistant to head teacher,East Sussex,3,1,10
13,Kevin,M,33,Music teacher,Lanarkshire,3,7,10
13,Maxy,F,29,Architectural assistant,London,3,2,10
13,Sandro,M,30,Nanny,London,3,4,10
13,Syabira,F,32,Cardiovascular research associate,London,3,5,10
13,Abdul,M,29,Electronics engineer,London,4,6,10
